URL,Ridership Numbers,Station,Year,Address,Station Name,Abbreviation,Check,State
https://www.railpassengers.org/site/assets/files/1696/ams.pdf,9155,/site/assets/files/1696/ams.pdf,2021,"466 W Main St Amsterdam, NY 12010-1053","Amsterdam, NY",AMS,a,NY
https://www.railpassengers.org/site/assets/files/1696/ams.pdf,12326,/site/assets/files/1696/ams.pdf,2022,"466 W Main St Amsterdam, NY 12010-1053","Amsterdam, NY",AMS,a,NY
https://www.railpassengers.org/site/assets/files/1697/ana.pdf,243900,/site/assets/files/1697/ana.pdf,2016,"2626 E Katella Ave Anaheim, CA 92806","Anaheim, CA",ANA,a,CA
https://www.railpassengers.org/site/assets/files/1697/ana.pdf,247600,/site/assets/files/1697/ana.pdf,2017,"2626 E Katella Ave Anaheim, CA 92806","Anaheim, CA",ANA,a,CA
https://www.railpassengers.org/site/assets/files/1697/ana.pdf,256600,/site/assets/files/1697/ana.pdf,2018,"2626 E Katella Ave Anaheim, CA 92806","Anaheim, CA",ANA,a,CA
https://www.railpassengers.org/site/assets/files/1697/ana.pdf,242000,/site/assets/files/1697/ana.pdf,2019,"2626 E Katella Ave Anaheim, CA 92806","Anaheim, CA",ANA,a,CA
https://www.railpassengers.org/site/assets/files/1697/ana.pdf,112600,/site/assets/files/1697/ana.pdf,2020,"2626 E Katella Ave Anaheim, CA 92806","Anaheim, CA",ANA,a,CA
https://www.railpassengers.org/site/assets/files/1697/ana.pdf,71900,/site/assets/files/1697/ana.pdf,2021,"2626 E Katella Ave Anaheim, CA 92806","Anaheim, CA",ANA,a,CA
https://www.railpassengers.org/site/assets/files/1697/ana.pdf,163800,/site/assets/files/1697/ana.pdf,2022,"2626 E Katella Ave Anaheim, CA 92806","Anaheim, CA",ANA,a,CA
https://www.railpassengers.org/site/assets/files/1700/aca.pdf,39995,/site/assets/files/1700/aca.pdf,2016,"100 I St Antioch, CA 94509-1122","Antioch--Pittsburg, CA",ACA,a,CA
https://www.railpassengers.org/site/assets/files/1700/aca.pdf,38103,/site/assets/files/1700/aca.pdf,2017,"100 I St Antioch, CA 94509-1122","Antioch--Pittsburg, CA",ACA,a,CA
https://www.railpassengers.org/site/assets/files/1700/aca.pdf,35343,/site/assets/files/1700/aca.pdf,2018,"100 I St Antioch, CA 94509-1122","Antioch--Pittsburg, CA",ACA,a,CA
https://www.railpassengers.org/site/assets/files/1700/aca.pdf,34618,/site/assets/files/1700/aca.pdf,2019,"100 I St Antioch, CA 94509-1122","Antioch--Pittsburg, CA",ACA,a,CA
https://www.railpassengers.org/site/assets/files/1700/aca.pdf,22400,/site/assets/files/1700/aca.pdf,2020,"100 I St Antioch, CA 94509-1122","Antioch--Pittsburg, CA",ACA,a,CA
https://www.railpassengers.org/site/assets/files/1700/aca.pdf,19096,/site/assets/files/1700/aca.pdf,2021,"100 I St Antioch, CA 94509-1122","Antioch--Pittsburg, CA",ACA,a,CA
https://www.railpassengers.org/site/assets/files/1700/aca.pdf,24987,/site/assets/files/1700/aca.pdf,2022,"100 I St Antioch, CA 94509-1122","Antioch--Pittsburg, CA",ACA,a,CA
https://www.railpassengers.org/site/assets/files/6876/acd.pdf,,/site/assets/files/6876/acd.pdf,2016,"630 Old Highway 21 Arcadia, MO 63621","Arcadia, MO",ACD,a,MO
https://www.railpassengers.org/site/assets/files/6876/acd.pdf,1081,/site/assets/files/6876/acd.pdf,2017,"630 Old Highway 21 Arcadia, MO 63621","Arcadia, MO",ACD,a,MO
https://www.railpassengers.org/site/assets/files/6876/acd.pdf,1018,/site/assets/files/6876/acd.pdf,2018,"630 Old Highway 21 Arcadia, MO 63621","Arcadia, MO",ACD,a,MO
https://www.railpassengers.org/site/assets/files/6876/acd.pdf,1144,/site/assets/files/6876/acd.pdf,2019,"630 Old Highway 21 Arcadia, MO 63621","Arcadia, MO",ACD,a,MO
https://www.railpassengers.org/site/assets/files/6876/acd.pdf,788,/site/assets/files/6876/acd.pdf,2020,"630 Old Highway 21 Arcadia, MO 63621","Arcadia, MO",ACD,a,MO
https://www.railpassengers.org/site/assets/files/6876/acd.pdf,577,/site/assets/files/6876/acd.pdf,2021,"630 Old Highway 21 Arcadia, MO 63621","Arcadia, MO",ACD,a,MO
